字段,判定,理由
last_fico_range_high,LEAK,最新 FICO 上界——最经典的泄漏字段，放款后重新拉的征信
last_fico_range_low,LEAK,最新 FICO 下界，同上
last_pymnt_amnt,LEAK,最后一次还款金额，放款后
next_pymnt_d,LEAK,下期应还月份，放款后
orig_projected_additional_accrued_interest,LEAK,预计额外应计利息，放款后
out_prncp,LEAK,剩余本金，放款后
out_prncp_inv,LEAK,投资人口径剩余本金，放款后
payment_plan_start_date,LEAK,还款计划起始日，放款后
pymnt_plan,LEAK,是否进入还款计划，放款后状态
recoveries,LEAK,核销后回收金额，放款后；用于反算经验 LGD
settlement_amount,LEAK,债务和解金额，放款后
settlement_date,LEAK,债务和解日期，放款后
settlement_percentage,LEAK,债务和解比例，放款后
settlement_status,LEAK,债务和解状态，放款后
settlement_term,LEAK,债务和解期数，放款后
total_pymnt,LEAK,累计已还总额，放款后
total_pymnt_inv,LEAK,投资人口径累计已还，放款后
total_rec_int,LEAK,累计已还利息，放款后
total_rec_late_fee,LEAK,累计滞纳金，放款后
total_rec_prncp,LEAK,累计已还本金，放款后；用于反算经验 LGD
annual_inc_joint,SPARSE,联合申请专有，绝大多数样本为空
dti_joint,SPARSE,联合申请专有
revol_bal_joint,SPARSE,联合申请专有
sec_app_chargeoff_within_12_mths,SPARSE,第二申请人专有
sec_app_collections_12_mths_ex_med,SPARSE,第二申请人专有
sec_app_earliest_cr_line,SPARSE,第二申请人专有
sec_app_fico_range_high,SPARSE,第二申请人专有
sec_app_fico_range_low,SPARSE,第二申请人专有
sec_app_inq_last_6mths,SPARSE,第二申请人专有
sec_app_mort_acc,SPARSE,第二申请人专有
sec_app_mths_since_last_major_derog,SPARSE,第二申请人专有
sec_app_num_rev_accts,SPARSE,第二申请人专有
sec_app_open_acc,SPARSE,第二申请人专有
sec_app_open_act_il,SPARSE,第二申请人专有
sec_app_revol_util,SPARSE,第二申请人专有
verification_status_joint,SPARSE,联合申请专有
desc,TEXT,借款描述自由文本，2013 年后 LC 已停止采集，缺失率极高
emp_title,TEXT,职位自由文本，30 万+ 不同取值，本项目不做 NLP
title,TEXT,借款标题自由文本，与 purpose 高度重复
disbursement_method,PLATFORM,放款方式（现金/直付），放款环节确定
initial_list_status,PLATFORM,LC 挂牌方式（整笔/拆分），平台内部字段
policy_code,PLATFORM,LC 产品策略标记，本数据集近乎常数
zip_code,PLATFORM,邮编前三位，高基数地理变量；与 addr_state 重叠，且地理变量做授信有公平信贷合规风险，本项目只留州
id,ID,贷款流水号
member_id,ID,会员号，该版本已全部脱敏为空
url,ID,LC 网页链接
